No;Kecamatan / Lokasi Kerja;Kota / Kabupaten;Tahun;Bulan;Tonase;Sampah Mudah Terurai;Kertas;Kayu;Kain;Plastik;Kulit / Karet;Logam;Kaca;B3 Domestik;Masker;Lain-Lain;Sort
164;PASAR MINGGU;Kota Jakarta Selatan;2021;Februari;6724,88;3353,70;1160,04;213,85;60,52;1543,36;47,07;72,63;99,53;28,24;52,45;94,15;2
165;PASAR REBO;Kota Jakarta Timur;2021;Februari;3589,52;1790,09;619,19;114,15;32,31;823,79;25,13;38,77;53,12;15,08;28,00;50,25;2
166;PENJARINGAN;Kota Jakarta Utara;2021;Februari;6996,1;3488,96;1206,83;222,48;62,96;1605,60;48,97;75,56;103,54;29,38;54,57;97,95;2
167;PESANGGRAHAN;Kota Jakarta Selatan;2021;Februari;4663,18;2325,53;804,40;148,29;41,97;1070,20;32,64;50,36;69,02;19,59;36,37;65,28;2
168;PKLB3;Lembaga ;2021;Februari;2789,38;1391,06;481,17;88,70;25,10;640,16;19,53;30,13;41,28;11,72;21,76;39,05;2
169;PULOGADUNG;Kota Jakarta Timur;2021;Februari;5101,4;2544,07;879,99;162,22;45,91;1170,77;35,71;55,10;75,50;21,43;39,79;71,42;2
170;SAWAH BESAR;Kota Jakarta Pusat;2021;Februari;2156,3;1075,35;371,96;68,57;19,41;494,87;15,09;23,29;31,91;9,06;16,82;30,19;2
171;SENEN;Kota Jakarta Pusat;2021;Februari;1708,18;851,87;294,66;54,32;15,37;392,03;11,96;18,45;25,28;7,17;13,32;23,91;2
172;SETIABUDI;Kota Jakarta Selatan;2021;Februari;2732,26;1362,58;471,31;86,89;24,59;627,05;19,13;29,51;40,44;11,48;21,31;38,25;2
173;TAMAN SARI;Kota Jakarta Barat;2021;Februari;3800,78;1895,45;655,63;120,86;34,21;872,28;26,61;41,05;56,25;15,96;29,65;53,21;2
174;TAMBORA;Kota Jakarta Barat;2021;Februari;7132,26;3556,86;1230,31;226,81;64,19;1636,85;49,93;77,03;105,56;29,96;55,63;99,85;2
175;TANAH ABANG;Kota Jakarta Pusat;2021;Februari;2910,66;1451,55;502,09;92,56;26,20;668,00;20,37;31,44;43,08;12,22;22,70;40,75;2
176;TANJUNG PRIOK;Kota Jakarta Utara;2021;Februari;7910,68;3945,06;1364,59;251,56;71,20;1815,50;55,37;85,44;117,08;33,22;61,70;110,75;2
177;TEBET;Kota Jakarta Selatan;2021;Februari;3568,68;1779,70;615,60;113,48;32,12;819,01;24,98;38,54;52,82;14,99;27,84;49,96;2
178;UPK BADAN AIR;Lembaga ;2021;Februari;8847,22;4412,11;1526,15;281,34;79,62;2030,44;61,93;95,55;130,94;37,16;69,01;123,86;2
179;B2B;Lembaga ;2021;Maret;6503,72;3243,41;1121,89;206,82;58,53;1492,60;45,53;70,24;96,26;27,32;50,73;91,05;3
180;BIDANG PENGENDALIAN KEBERSIHAN;Lembaga ;2021;Maret;174,08;86,81;30,03;5,54;1,57;39,95;1,22;1,88;2,58;0,73;1,36;2,44;3
181;CAKUNG;Kota Jakarta Timur;2021;Maret;9311,76;4643,77;1606,28;296,11;83,81;2137,05;65,18;100,57;137,81;39,11;72,63;130,36;3
182;CEMPAKA PUTIH;Kota Jakarta Pusat;2021;Maret;1419,56;707,93;244,87;45,14;12,78;325,79;9,94;15,33;21,01;5,96;11,07;19,87;3
183;CENGKARENG;Kota Jakarta Barat;2021;Maret;8613,76;4295,68;1485,87;273,92;77,52;1976,86;60,30;93,03;127,48;36,18;67,19;120,59;3
184;CILANDAK;Kota Jakarta Selatan;2021;Maret;3734,56;1862,43;644,21;118,76;33,61;857,08;26,14;40,33;55,27;15,69;29,13;52,28;3
185;CILINCING;Kota Jakarta Utara;2021;Maret;5913,46;2949,04;1020,07;188,05;53,22;1357,14;41,39;63,87;87,52;24,84;46,12;82,79;3
186;CIPAYUNG;Kota Jakarta Timur;2021;Maret;3646,08;1818,30;628,95;115,95;32,81;836,78;25,52;39,38;53,96;15,31;28,44;51,05;3
187;CIRACAS;Kota Jakarta Timur;2021;Maret;4214,78;2101,91;727,05;134,03;37,93;967,29;29,50;45,52;62,38;17,70;32,88;59,01;3
188;DUREN SAWIT;Kota Jakarta Timur;2021;Maret;7321,06;3651,01;1262,88;232,81;65,89;1680,18;51,25;79,07;108,35;30,75;57,10;102,49;3
189;GAMBIR;Kota Jakarta Pusat;2021;Maret;1824,82;910,04;314,78;58,03;16,42;418,80;12,77;19,71;27,01;7,66;14,23;25,55;3
190;GROGOL PETAMBURAN;Kota Jakarta Barat;2021;Maret;4382,86;2185,73;756,04;139,37;39,45;1005,87;30,68;47,33;64,87;18,41;34,19;61,36;3
191;JAGAKARSA;Kota Jakarta Selatan;2021;Maret;5112,02;2549,36;881,82;162,56;46,01;1173,21;35,78;55,21;75,66;21,47;39,87;71,57;3
192;JATINEGARA;Kota Jakarta Timur;2021;Maret;5888,7;2936,69;1015,80;187,26;53,00;1351,46;41,22;63,60;87,15;24,73;45,93;82,44;3
193;JOHAR BARU;Kota Jakarta Pusat;2021;Maret;1646,5;821,11;284,02;52,36;14,82;377,87;11,53;17,78;24,37;6,92;12,84;23,05;3
194;KALIDERES;Kota Jakarta Barat;2021;Maret;7167,9;3574,63;1236,46;227,94;64,51;1645,03;50,18;77,41;106,08;30,11;55,91;100,35;3
195;KEBAYORAN BARU;Kota Jakarta Selatan;2021;Maret;5162,4;2574,49;890,51;164,16;46,46;1184,77;36,14;55,75;76,40;21,68;40,27;72,27;3
196;KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Maret;6183,4;3083,66;1066,64;196,63;55,65;1419,09;43,28;66,78;91,51;25,97;48,23;86,57;3
197;KEBON JERUK;Kota Jakarta Barat;2021;Maret;2153,36;1073,88;371,45;68,48;19,38;494,20;15,07;23,26;31,87;9,04;16,80;30,15;3
198;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2021;Maret;289,78;144,51;49,99;9,22;2,61;66,50;2,03;3,13;4,29;1,22;2,26;4,06;3
199;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2021;Maret;117,9;58,80;20,34;3,75;1,06;27,06;0,83;1,27;1,74;0,50;0,92;1,65;3
200;KELAPA GADING;Kota Jakarta Utara;2021;Maret;3823,14;1906,60;659,49;121,58;34,41;877,41;26,76;41,29;56,58;16,06;29,82;53,52;3
201;KEMAYORAN;Kota Jakarta Pusat;2021;Maret;4429,38;2208,93;764,07;140,85;39,86;1016,54;31,01;47,84;65,55;18,60;34,55;62,01;3
202;KEMBANGAN;Kota Jakarta Barat;2021;Maret;5114,2;2550,45;882,20;162,63;46,03;1173,71;35,80;55,23;75,69;21,48;39,89;71,60;3
203;KEPULAUAN SERIBU;Kabupaten Kepulauan Seribu;2021;Maret;789,58;393,76;136,20;25,11;7,11;181,21;5,53;8,53;11,69;3,32;6,16;11,05;3
204;KOJA;Kota Jakarta Utara;2021;Maret;4509,56;2248,92;777,90;143,40;40,59;1034,94;31,57;48,70;66,74;18,94;35,17;63,13;3
205;KRAMAT JATI;Kota Jakarta Timur;2021;Maret;3962,32;1976,01;683,50;126,00;35,66;909,35;27,74;42,79;58,64;16,64;30,91;55,47;3
206;MAKASAR;Kota Jakarta Timur;2021;Maret;3074,86;1533,43;530,41;97,78;27,67;705,68;21,52;33,21;45,51;12,91;23,98;43,05;3
207;MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Maret;2793,04;1392,89;481,80;88,82;25,14;641,00;19,55;30,16;41,34;11,73;21,79;39,10;3
208;MATRAMAN;Kota Jakarta Timur;2021;Maret;2635,78;1314,46;454,67;83,82;23,72;604,91;18,45;28,47;39,01;11,07;20,56;36,90;3
209;MENTENG;Kota Jakarta Pusat;2021;Maret;2220,96;1107,59;383,12;70,63;19,99;509,71;15,55;23,99;32,87;9,33;17,32;31,09;3
210;Pademangan;Kota Jakarta Utara;2021;Maret;3072,12;1532,07;529,94;97,69;27,65;705,05;21,50;33,18;45,47;12,90;23,96;43,01;3
211;PALMERAH;Kota Jakarta Barat;2021;Maret;3873,08;1931,50;668,11;123,16;34,86;888,87;27,11;41,83;57,32;16,27;30,21;54,22;3
212;PANCORAN;Kota Jakarta Selatan;2021;Maret;4387,36;2187,98;756,82;139,52;39,49;1006,90;30,71;47,38;64,93;18,43;34,22;61,42;3
213;PASAR - CAKUNG;Kota Jakarta Timur;2021;Maret;255,2;127,27;44,02;8,12;2,30;58,57;1,79;2,76;3,78;1,07;1,99;3,57;3
214;PASAR - CEMPAKA PUTIH;Kota Jakarta Pusat;2021;Maret;370,22;184,63;63,86;11,77;3,33;84,97;2,59;4,00;5,48;1,55;2,89;5,18;3
215;PASAR - CENGKARENG;Kota Jakarta Barat;2021;Maret;126,32;63,00;21,79;4,02;1,14;28,99;0,88;1,36;1,87;0,53;0,99;1,77;3
216;PASAR - CILANDAK;Kota Jakarta Selatan;2021;Maret;134,5;67,08;23,20;4,28;1,21;30,87;0,94;1,45;1,99;0,56;1,05;1,88;3
217;PASAR - CILINCING;Kota Jakarta Utara;2021;Maret;143,06;71,34;24,68;4,55;1,29;32,83;1,00;1,55;2,12;0,60;1,12;2,00;3
218;PASAR - CIPAYUNG;Kota Jakarta Timur;2021;Maret;92,84;46,30;16,01;2,95;0,84;21,31;0,65;1,00;1,37;0,39;0,72;1,30;3
219;PASAR - CIRACAS;Kota Jakarta Timur;2021;Maret;187,88;93,70;32,41;5,97;1,69;43,12;1,32;2,03;2,78;0,79;1,47;2,63;3
220;PASAR - DUREN SAWIT;Kota Jakarta Timur;2021;Maret;790,48;394,21;136,36;25,14;7,11;181,42;5,53;8,54;11,70;3,32;6,17;11,07;3
221;PASAR - GAMBIR;Kota Jakarta Pusat;2021;Maret;137,72;68,68;23,76;4,38;1,24;31,61;0,96;1,49;2,04;0,58;1,07;1,93;3
222;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2021;Maret;278,14;138,71;47,98;8,84;2,50;63,83;1,95;3,00;4,12;1,17;2,17;3,89;3
223;PASAR - JAGAKARSA;Kota Jakarta Selatan;2021;Maret;188,7;94,10;32,55;6,00;1,70;43,31;1,32;2,04;2,79;0,79;1,47;2,64;3
224;PASAR - JATINEGARA;Kota Jakarta Timur;2021;Maret;355,52;177,30;61,33;11,31;3,20;81,59;2,49;3,84;5,26;1,49;2,77;4,98;3
225;PASAR - JOHAR BARU;Kota Jakarta Pusat;2021;Maret;13,82;6,89;2,38;0,44;0,12;3,17;0,10;0,15;0,20;0,06;0,11;0,19;3
226;PASAR - KALIDERES;Kota Jakarta Barat;2021;Maret;43;21,44;7,42;1,37;0,39;9,87;0,30;0,46;0,64;0,18;0,34;0,60;3
227;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2021;Maret;276,3;137,79;47,66;8,79;2,49;63,41;1,93;2,98;4,09;1,16;2,16;3,87;3
228;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Maret;378,18;188,60;65,24;12,03;3,40;86,79;2,65;4,08;5,60;1,59;2,95;5,29;3
229;PASAR - KEBON JERUK;Kota Jakarta Barat;2021;Maret;314,72;156,95;54,29;10,01;2,83;72,23;2,20;3,40;4,66;1,32;2,45;4,41;3
230;PASAR - KELAPA GADING;Kota Jakarta Utara;2021;Maret;27,54;13,73;4,75;0,88;0,25;6,32;0,19;0,30;0,41;0,12;0,21;0,39;3
231;PASAR - KEMAYORAN;Kota Jakarta Pusat;2021;Maret;284,48;141,87;49,07;9,05;2,56;65,29;1,99;3,07;4,21;1,19;2,22;3,98;3
232;PASAR - KEMBANGAN;Kota Jakarta Barat;2021;Maret;348,32;173,71;60,09;11,08;3,13;79,94;2,44;3,76;5,16;1,46;2,72;4,88;3
233;PASAR - KOJA;Kota Jakarta Utara;2021;Maret;394,84;196,91;68,11;12,56;3,55;90,62;2,76;4,26;5,84;1,66;3,08;5,53;3
234;PASAR - KRAMAT JATI;Kota Jakarta Timur;2021;Maret;4852,96;2420,17;837,14;154,32;43,68;1113,75;33,97;52,41;71,82;20,38;37,85;67,94;3
235;PASAR - MAKASAR;Kota Jakarta Timur;2021;Maret;232,42;115,91;40,09;7,39;2,09;53,34;1,63;2,51;3,44;0,98;1,81;3,25;3
236;PASAR - MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Maret;97,06;48,40;16,74;3,09;0,87;22,28;0,68;1,05;1,44;0,41;0,76;1,36;3
237;PASAR - MATRAMAN;Kota jakarta Timur;2021;Maret;117,58;58,64;20,28;3,74;1,06;26,98;0,82;1,27;1,74;0,49;0,92;1,65;3
238;PASAR - PADEMANGAN;Kota Jakarta Utara;2021;Maret;211,08;105,27;36,41;6,71;1,90;48,44;1,48;2,28;3,12;0,89;1,65;2,96;3
239;PASAR - PALMERAH;Kota Jakarta Barat;2021;Maret;23,22;11,58;4,01;0,74;0,21;5,33;0,16;0,25;0,34;0,10;0,18;0,33;3
240;PASAR - PASAR MINGGU;Kota Jakarta Selatan;2021;Maret;546,9;272,74;94,34;17,39;4,92;125,51;3,83;5,91;8,09;2,30;4,27;7,66;3
241;PASAR - PASAR REBO;Kota Jakarta Timur;2021;Maret;90,92;45,34;15,68;2,89;0,82;20,87;0,64;0,98;1,35;0,38;0,71;1,27;3
242;PASAR - PENJARINGAN;Kota Jakarta Utara;2021;Maret;397,72;198,34;68,61;12,65;3,58;91,28;2,78;4,30;5,89;1,67;3,10;5,57;3
243;PASAR - PESANGGRAHAN;Kota Jakarta Selatan;2021;Maret;58,36;29,10;10,07;1,86;0,53;13,39;0,41;0,63;0,86;0,25;0,46;0,82;3
244;PASAR - PULOGADUNG;Kota Jakarta Timur;2021;Maret;386,6;192,80;66,69;12,29;3,48;88,72;2,71;4,18;5,72;1,62;3,02;5,41;3
245;PASAR - SAWAH BESAR;Kota Jakarta Pusat;2021;Maret;207,06;103,26;35,72;6,58;1,86;47,52;1,45;2,24;3,06;0,87;1,62;2,90;3
246;PASAR - SENEN;Kota Jakarta Pusat;2021;Maret;596,76;297,60;102,94;18,98;5,37;136,96;4,18;6,45;8,83;2,51;4,65;8,35;3
247;PASAR - SETIABUDI;Kota Jakarta Selatan;2021;Maret;276,58;137,93;47,71;8,80;2,49;63,48;1,94;2,99;4,09;1,16;2,16;3,87;3
248;PASAR - TAMANSARI;Kota Jakarta Barat;2021;Maret;490,98;244,85;84,69;15,61;4,42;112,68;3,44;5,30;7,27;2,06;3,83;6,87;3
249;PASAR - TAMBORA;Kota Jakarta Barat;2021;Maret;286,28;142,77;49,38;9,10;2,58;65,70;2,00;3,09;4,24;1,20;2,23;4,01;3
250;PASAR - TANAH ABANG;Kota Jakarta Pusat;2021;Maret;330,36;164,75;56,99;10,51;2,97;75,82;2,31;3,57;4,89;1,39;2,58;4,63;3
251;PASAR - TANJUNG PRIOK;Kota Jakarta Pusat;2021;Maret;252,26;125,80;43,51;8,02;2,27;57,89;1,77;2,72;3,73;1,06;1,97;3,53;3
252;PASAR - TEBET;Kota Jakarta Selatan;2021;Maret;220,52;109,97;38,04;7,01;1,98;50,61;1,54;2,38;3,26;0,93;1,72;3,09;3
253;PASAR MINGGU;Kota Jakarta Selatan;2021;Maret;6703,98;3343,27;1156,44;213,19;60,34;1538,56;46,93;72,40;99,22;28,16;52,29;93,86;3
254;PASAR REBO;Kota Jakarta Timur;2021;Maret;3644,96;1817,74;628,76;115,91;32,80;836,52;25,51;39,37;53,95;15,31;28,43;51,03;3
255;PENJARINGAN;Kota Jakarta Utara;2021;Maret;6677,86;3330,25;1151,93;212,36;60,10;1532,57;46,75;72,12;98,83;28,05;52,09;93,49;3
256;PESANGGRAHAN;Kota Jakarta Selatan;2021;Maret;4793,54;2390,54;826,89;152,43;43,14;1100,12;33,55;51,77;70,94;20,13;37,39;67,11;3
257;PKLB3;Lembaga ;2021;Maret;826,68;412,27;142,60;26,29;7,44;189,72;5,79;8,93;12,23;3,47;6,45;11,57;3
258;PULOGADUNG;Kota Jakarta Timur;2021;Maret;4894,72;2441,00;844,34;155,65;44,05;1123,34;34,26;52,86;72,44;20,56;38,18;68,53;3
259;SAWAH BESAR;Kota Jakarta Pusat;2021;Maret;2068,14;1031,38;356,75;65,77;18,61;474,64;14,48;22,34;30,61;8,69;16,13;28,95;3
260;SENEN;Kota Jakarta Pusat;2021;Maret;1646,2;820,96;283,97;52,35;14,82;377,80;11,52;17,78;24,36;6,91;12,84;23,05;3
261;SETIABUDI;Kota Jakarta Selatan;2021;Maret;2562,66;1278,00;442,06;81,49;23,06;588,13;17,94;27,68;37,93;10,76;19,99;35,88;3
262;TAMAN SARI;Kota Jakarta Barat;2021;Maret;2826,58;1409,62;487,59;89,89;25,44;648,70;19,79;30,53;41,83;11,87;22,05;39,57;3
263;TAMBORA;Kota Jakarta Barat;2021;Maret;5486,86;2736,30;946,48;174,48;49,38;1259,23;38,41;59,26;81,21;23,04;42,80;76,82;3
264;TANAH ABANG;Kota Jakarta Pusat;2021;Maret;2799,94;1396,33;482,99;89,04;25,20;642,59;19,60;30,24;41,44;11,76;21,84;39,20;3
265;TANJUNG PRIOK;Kota Jakarta Utara;2021;Maret;7351,42;3666,15;1268,12;233,78;66,16;1687,15;51,46;79,40;108,80;30,88;57,34;102,92;3
266;TEBET;Kota Jakarta Selatan;2021;Maret;3693,18;1841,79;637,07;117,44;33,24;847,58;25,85;39,89;54,66;15,51;28,81;51,70;3
267;UPK BADAN AIR;Lembaga ;2021;Maret;7294,48;3637,76;1258,30;231,96;65,65;1674,08;51,06;78,78;107,96;30,64;56,90;102,12;3
268;B2B;Lembaga ;2021;April;6544,66;3263,82;1128,95;208,12;58,90;1502,00;45,81;70,68;96,86;27,49;51,05;91,63;4
269;BIDANG PENGENDALIAN KEBERSIHAN;Lembaga ;2021;April;38,92;19,41;6,71;1,24;0,35;8,93;0,27;0,42;0,58;0,16;0,30;0,54;4
270;CAKUNG;Kota Jakarta Timur;2021;April;9418,98;4697,25;1624,77;299,52;84,77;2161,66;65,93;101,72;139,40;39,56;73,47;131,87;4
271;CEMPAKA PUTIH;Kota Jakarta Pusat;2021;April;1482,38;739,26;255,71;47,14;13,34;340,21;10,38;16,01;21,94;6,23;11,56;20,75;4
272;CENGKARENG;Kota Jakarta Barat;2021;April;9358,74;4667,20;1614,38;297,61;84,23;2147,83;65,51;101,07;138,51;39,31;73,00;131,02;4
273;CILANDAK;Kota Jakarta Selatan;2021;April;3871,26;1930,60;667,79;123,11;34,84;888,45;27,10;41,81;57,29;16,26;30,20;54,20;4
274;CILINCING;Kota Jakarta Utara;2021;April;5976,5;2980,48;1030,95;190,05;53,79;1371,61;41,84;64,55;88,45;25,10;46,62;83,67;4
275;CIPAYUNG;Kota Jakarta Timur;2021;April;3743,14;1866,70;645,69;119,03;33,69;859,05;26,20;40,43;55,40;15,72;29,20;52,40;4
276;CIRACAS;Kota Jakarta Timur;2021;April;4187,46;2088,29;722,34;133,16;37,69;961,02;29,31;45,22;61,97;17,59;32,66;58,62;4
277;DUREN SAWIT;Kota Jakarta Timur;2021;April;7392,16;3686,47;1275,15;235,07;66,53;1696,50;51,75;79,84;109,40;31,05;57,66;103,49;4
278;GAMBIR;Kota Jakarta Pusat;2021;April;2014,44;1004,60;347,49;64,06;18,13;462,31;14,10;21,76;29,81;8,46;15,71;28,20;4
279;GROGOL PETAMBURAN;Kota Jakarta Barat;2021;April;4920,76;2453,98;848,83;156,48;44,29;1129,31;34,45;53,14;72,83;20,67;38,38;68,89;4
280;JAGAKARSA;Kota Jakarta Selatan;2021;April;5179;2582,77;893,38;164,69;46,61;1188,58;36,25;55,93;76,65;21,75;40,40;72,51;4
281;JATINEGARA;Kota Jakarta Timur;2021;April;6060,32;3022,28;1045,41;192,72;54,54;1390,84;42,42;65,45;89,69;25,45;47,27;84,84;4
282;JOHAR BARU;Kota Jakarta Pusat;2021;April;1798,52;896,92;310,24;57,19;16,19;412,76;12,59;19,42;26,62;7,55;14,03;25,18;4
283;KALIDERES;Kota Jakarta Barat;2021;April;7655,58;3817,84;1320,59;243,45;68,90;1756,96;53,59;82,68;113,30;32,15;59,71;107,18;4
284;KEBAYORAN BARU;Kota Jakarta Selatan;2021;April;5309,76;2647,98;915,93;168,85;47,79;1218,59;37,17;57,35;78,58;22,30;41,42;74,34;4
285;KEBAYORAN LAMA;Kota Jakarta Selatan;2021;April;6395,4;3189,39;1103,21;203,37;57,56;1467,74;44,77;69,07;94,65;26,86;49,88;89,54;4
286;KEBON JERUK;Kota Jakarta Barat;2021;April;2212,42;1103,33;381,64;70,35;19,91;507,75;15,49;23,89;32,74;9,29;17,26;30,97;4
287;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2021;April;275,06;137,17;47,45;8,75;2,48;63,13;1,93;2,97;4,07;1,16;2,15;3,85;4
288;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2021;April;120,44;60,06;20,78;3,83;1,08;27,64;0,84;1,30;1,78;0,51;0,94;1,69;4
289;KELAPA GADING;Kota Jakarta Utara;2021;April;4056,06;2022,76;699,67;128,98;36,50;930,87;28,39;43,81;60,03;17,04;31,64;56,78;4
290;KEMAYORAN;Kota Jakarta Pusat;2021;April;4678,4;2333,12;807,02;148,77;42,11;1073,69;32,75;50,53;69,24;19,65;36,49;65,50;4
291;KEMBANGAN;Kota Jakarta Barat;2021;April;5483,28;2734,51;945,87;174,37;49,35;1258,41;38,38;59,22;81,15;23,03;42,77;76,77;4
292;KEPULAUAN SERIBU;Kabupaten Kepulauan Seribu;2021;April;980,3;488,88;169,10;31,17;8,82;224,98;6,86;10,59;14,51;4,12;7,65;13,72;4
293;KOJA;Kota Jakarta Utara;2021;April;4472,3;2230,34;771,47;142,22;40,25;1026,39;31,31;48,30;66,19;18,78;34,88;62,61;4
294;KRAMAT JATI;Kota Jakarta Timur;2021;April;4043,18;2016,33;697,45;128,57;36,39;927,91;28,30;43,67;59,84;16,98;31,54;56,60;4
295;MAKASAR;Kota Jakarta Timur;2021;April;3089,98;1540,97;533,02;98,26;27,81;709,15;21,63;33,37;45,73;12,98;24,10;43,26;4
296;MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;April;2869,28;1430,91;494,95;91,24;25,82;658,50;20,08;30,99;42,47;12,05;22,38;40,17;4
297;MATRAMAN;Kota Jakarta Timur;2021;April;2771,82;1382,31;478,14;88,14;24,95;636,13;19,40;29,94;41,02;11,64;21,62;38,81;4
298;MENTENG;Kota Jakarta Pusat;2021;April;2318,18;1156,08;399,89;73,72;20,86;532,02;16,23;25,04;34,31;9,74;18,08;32,45;4
299;Pademangan;Kota Jakarta Utara;2021;April;3146,6;1569,21;542,79;100,06;28,32;722,14;22,03;33,98;46,57;13,22;24,54;44,05;4
300;PALMERAH;Kota Jakarta Barat;2021;April;4109,56;2049,44;708,90;130,68;36,99;943,14;28,77;44,38;60,82;17,26;32,05;57,53;4
301;PANCORAN;Kota Jakarta Selatan;2021;April;4576,74;2282,42;789,49;145,54;41,19;1050,36;32,04;49,43;67,74;19,22;35,70;64,07;4
302;PASAR - CAKUNG;Kota Jakarta Timur;2021;April;238,54;118,96;41,15;7,59;2,15;54,74;1,67;2,58;3,53;1,00;1,86;3,34;4
303;PASAR - CEMPAKA PUTIH;Kota Jakarta Pusat;2021;April;399,68;199,32;68,94;12,71;3,60;91,73;2,80;4,32;5,92;1,68;3,12;5,60;4
304;PASAR - CENGKARENG;Kota Jakarta Barat;2021;April;119,9;59,79;20,68;3,81;1,08;27,52;0,84;1,29;1,77;0,50;0,94;1,68;4
305;PASAR - CILANDAK;Kota Jakarta Selatan;2021;April;121,8;60,74;21,01;3,87;1,10;27,95;0,85;1,32;1,80;0,51;0,95;1,71;4
306;PASAR - CILINCING;Kota Jakarta Utara;2021;April;140,44;70,04;24,23;4,47;1,26;32,23;0,98;1,52;2,08;0,59;1,10;1,97;4
307;PASAR - CIPAYUNG;Kota Jakarta Timur;2021;April;83,6;41,69;14,42;2,66;0,75;19,19;0,59;0,90;1,24;0,35;0,65;1,17;4
308;PASAR - CIRACAS;Kota Jakarta Timur;2021;April;166,5;83,03;28,72;5,29;1,50;38,21;1,17;1,80;2,46;0,70;1,30;2,33;4
309;PASAR - DUREN SAWIT;Kota Jakarta Timur;2021;April;711,7;354,92;122,77;22,63;6,41;163,34;4,98;7,69;10,53;2,99;5,55;9,96;4
310;PASAR - GAMBIR;Kota Jakarta Pusat;2021;April;143,8;71,71;24,81;4,57;1,29;33,00;1,01;1,55;2,13;0,60;1,12;2,01;4
311;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2021;April;220,82;110,12;38,09;7,02;1,99;50,68;1,55;2,38;3,27;0,93;1,72;3,09;4
312;PASAR - JAGAKARSA;Kota Jakarta Selatan;2021;April;178,58;89,06;30,81;5,68;1,61;40,98;1,25;1,93;2,64;0,75;1,39;2,50;4
313;PASAR - JATINEGARA;Kota Jakarta Timur;2021;April;122,12;60,90;21,07;3,88;1,10;28,03;0,85;1,32;1,81;0,51;0,95;1,71;4
314;PASAR - JOHAR BARU;Kota Jakarta Pusat;2021;April;15,94;7,95;2,75;0,51;0,14;3,66;0,11;0,17;0,24;0,07;0,12;0,22;4
315;PASAR - KALIDERES;Kota Jakarta Barat;2021;April;39,74;19,82;6,86;1,26;0,36;9,12;0,28;0,43;0,59;0,17;0,31;0,56;4
316;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2021;April;286,66;142,96;49,45;9,12;2,58;65,79;2,01;3,10;4,24;1,20;2,24;4,01;4
317;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2021;April;374,2;186,61;64,55;11,90;3,37;85,88;2,62;4,04;5,54;1,57;2,92;5,24;4
318;PASAR - KEBON JERUK;Kota Jakarta Barat;2021;April;321,48;160,32;55,46;10,22;2,89;73,78;2,25;3,47;4,76;1,35;2,51;4,50;4
319;PASAR - KELAPA GADING;Kota Jakarta Utara;2021;April;35,84;17,87;6,18;1,14;0,32;8,23;0,25;0,39;0,53;0,15;0,28;0,50;4
320;PASAR - KEMAYORAN;Kota Jakarta Pusat;2021;April;295,4;147,32;50,96;9,39;2,66;67,79;2,07;3,19;4,37;1,24;2,30;4,14;4
321;PASAR - KEMBANGAN;Kota Jakarta Barat;2021;April;370,98;185,01;63,99;11,80;3,34;85,14;2,60;4,01;5,49;1,56;2,89;5,19;4
322;PASAR - KOJA;Kota Jakarta Utara;2021;April;374,98;187,00;64,68;11,92;3,37;86,06;2,62;4,05;5,55;1,57;2,92;5,25;4
323;PASAR - KRAMAT JATI;Kota Jakarta Timur;2021;April;5067,42;2527,12;874,13;161,14;45,61;1162,97;35,47;54,73;75,00;21,28;39,53;70,94;4
324;PASAR - MAKASAR;Kota Jakarta Timur;2021;April;206,78;103,12;35,67;6,58;1,86;47,46;1,45;2,23;3,06;0,87;1,61;2,89;4
325;PASAR - MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;April;93,54;46,65;16,14;2,97;0,84;21,47;0,65;1,01;1,38;0,39;0,73;1,31;4
326;PASAR - MATRAMAN;Kota jakarta Timur;2021;April;113,36;56,53;19,55;3,60;1,02;26,02;0,79;1,22;1,68;0,48;0,88;1,59;4
327;PASAR - PADEMANGAN;Kota Jakarta Utara;2021;April;328,68;163,91;56,70;10,45;2,96;75,43;2,30;3,55;4,86;1,38;2,56;4,60;4
328;PASAR - PALMERAH;Kota Jakarta Barat;2021;April;21,7;10,82;3,74;0,69;0,20;4,98;0,15;0,23;0,32;0,09;0,17;0,30;4
329;PASAR - PASAR MINGGU;Kota Jakarta Selatan;2021;April;363,7;181,38;62,74;11,57;3,27;83,47;2,55;3,93;5,38;1,53;2,84;5,09;4
